"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,93406,6000,0
0,0,0,0,0,0,0,0,93656,6000,0
0,0,0,0,0,0,0,0,93907,6000,0
0,0,0,0,0,0,0,0,94157,6000,0
0,0,0,0,0,0,0,0,94407,6000,0
0,0,0,0,0,0,0,0,94658,6000,0
0,0,0,0,0,0,0,0,94908,6000,0
0,0,0,0,0,0,0,0,95159,6000,0
0,0,0,0,0,0,0,0,95409,6000,0
0,0,0,0,0,0,0,0,95659,6000,0
0,0,0,0,0,0,0,0,95910,6000,0
0,0,0,0,0,0,0,0,96160,6000,0
0,0,0,0,0,0,0,0,96411,6000,0
0,0,0,0,0,0,0,0,96661,6000,0
0,0,0,0,0,0,0,0,96912,6000,0
0,0,0,0,0,0,0,0,97162,6000,0
0,0,0,0,0,0,0,0,97412,6000,0
0,0,0,0,0,0,0,0,97663,6000,0
0,0,0,0,0,0,0,0,97913,6000,0
0,0,0,0,0,0,0,0,98164,6000,0
0,0,0,0,0,0,0,0,98414,6000,0
0,0,0,0,0,0,0,0,98664,6000,0
0,0,0,0,0,0,0,0,98915,6000,0
0,0,0,0,0,0,0,0,99165,6000,0
0,0,0,0,0,0,0,0,99416,6000,0
0,0,0,0,0,0,0,0,99666,6000,0
0,0,0,0,0,0,0,0,99917,6000,0
0,0,0,0,0,0,0,0,1.0017e+05,6000,0
0,0,0,0,0,0,0,0,1.0042e+05,6000,0
0,0,0,0,0,0,0,0,1.0067e+05,6000,0
0,0,0,0,0,0,0,0,1.0092e+05,6000,0
0,0,0,0,0,0,0,0,1.0117e+05,6000,0
0,0,0,0,0,0,0,0,1.0142e+05,6000,0
0,0,0,0,0,0,0,0,1.0167e+05,6000,0
0,0,0,0,0,0,0,0,1.0192e+05,6000,0
0,0,0,0,0,0,0,0,1.0217e+05,6000,0
0,0,0,0,0,0,0,0,1.0242e+05,6000,0
0,0,0,0,0,0,0,0,1.0267e+05,6000,0
0,0,0,0,0,0,0,0,1.0292e+05,6000,0
0,0,0,0,0,0,0,0,1.0317e+05,6000,0
0,0,0,0,0,0,0,0,1.0342e+05,6000,0
0,0,0,0,0,0,0,0,1.0367e+05,6000,0
0,0,0,0,0,0,0,0,1.0392e+05,6000,0
0,0,0,0,0,0,0,0,1.0417e+05,6000,0
0,0,0,0,0,0,0,0,1.0442e+05,6000,0
0,0,0,0,0,0,0,0,1.0467e+05,6000,0
0,0,0,0,0,0,0,0,1.0492e+05,6000,0
0,0,0,0,0,0,0,0,1.0518e+05,6000,0
0,0,0,0,0,0,0,0,1.0543e+05,6000,0
0,0,0,0,0,0,0,0,1.0568e+05,6000,0
0,0,0,0,0,0,0,0,1.0593e+05,6000,0
0,0,0,0,0,0,0,0,1.0618e+05,6000,0
0,0,0,0,0,0,0,0,1.0643e+05,6000,0
0,0,0,0,0,0,0,0,1.0668e+05,6000,0
0,0,0,0,0,0,0,0,1.0693e+05,6000,0
0,0,0,0,0,0,0,0,1.0718e+05,6000,0
0,0,0,0,0,0,0,0,1.0743e+05,6000,0
0,0,0,0,0,0,0,0,1.0768e+05,6000,0
0,0,0,0,0,0,0,0,1.0793e+05,6000,0
0,0,0,0,0,0,0,0,1.0818e+05,6000,0
0,0,0,0,0,0,0,0,1.0843e+05,6000,0
0,0,0,0,0,0,0,0,1.0868e+05,6000,0
0,0,0,0,0,0,0,0,1.0893e+05,6000,0
0,0,0,0,0,0,0,0,1.0918e+05,6000,0
0,0,0,0,0,0,0,0,1.0943e+05,6000,0
0,0,0,0,0,0,0,0,1.0968e+05,6000,0
